,排名,片名,评分,评价人数,制片国家,类型,上映日期,时长,影片链接
240,No.241,阿飞正传,8.5,507891,中国香港,"剧情,爱情,犯罪","2018-06-25(中国大陆),1990-12-15(中国香港)",94分钟,https://movie.douban.com/subject/1305690/
241,No.242,谍影重重,8.6,423035,"美国,德国,捷克","动作,悬疑,惊悚","2002-11-21(中国大陆),2002-06-14(美国)",119分钟,https://movie.douban.com/subject/1304102/
242,No.243,燃情岁月,8.8,285215,美国,"剧情,爱情,战争,西部",1994-12-16(美国),133分钟,https://movie.douban.com/subject/1295865/
243,No.244,白日梦想家,8.6,470731,"美国,英国","剧情,喜剧,冒险",2013-12-25(美国),114分钟,https://movie.douban.com/subject/2133323/
244,No.245,朗读者,8.6,451154,"美国,德国","剧情,爱情","2008-12-10(纽约首映),2009-01-30(美国),2009-02-26(德国)",124 分钟,https://movie.douban.com/subject/2213597/
245,No.246,再次出发之纽约遇见你,8.6,424537,美国,"喜剧,爱情,音乐","2015-06-26(中国大陆),2013-09-07(多伦多电影节),2014-07-11(美国)",104分钟,https://movie.douban.com/subject/6874403/
246,No.247,哈利·波特与凤凰社,8.5,561672,"英国,美国","奇幻,冒险","2007-08-10(中国大陆),2007-07-11(美国)",138分钟,https://movie.douban.com/subject/1457217/
247,No.248,蜘蛛侠：平行宇宙,8.6,651711,美国,"动作,科幻,动画,冒险","2018-12-21(中国大陆),2018-12-14(美国)",116分钟(中国大陆),https://movie.douban.com/subject/26374197/
248,No.249,香水,8.5,541517,"德国,法国,西班牙,美国,比利时","剧情,犯罪,奇幻","2006-09-07(德国),2006-09-14(法国),2006-11-24(西班牙),2007-01-05(美国)",147分钟,https://movie.douban.com/subject/1760622/
249,No.250,穿越时空的少女,8.6,379649,日本,"剧情,爱情,科幻,动画",2006-07-15(日本),98分钟,https://movie.douban.com/subject/1937946/
