No.32,指环王3：王者无敌,9.3,798108,"美国,新西兰","剧情,动作,奇幻,冒险","2004-03-12(中国大陆),2021-05-14(中国大陆重映),2003-12-17(美国)",201分钟,https://movie.douban.com/subject/1291552/
No.33,乱世佳人,9.3,688261,美国,"剧情,爱情,历史,战争","1939-12-15(亚特兰大首映),1940-01-17(美国)",238分钟,https://movie.douban.com/subject/1300267/
No.34,我不是药神,9.0,2090530,中国大陆,"剧情,喜剧","2018-07-05(中国大陆),2018-06-30(大规模点映)",117分钟,https://movie.douban.com/subject/26752088/
No.35,飞屋环游记,9.1,1317069,美国,"剧情,喜剧,动画,冒险","2009-08-04(中国大陆),2009-05-13(戛纳电影节),2009-05-29(美国)",96分钟,https://movie.douban.com/subject/2129039/
No.36,素媛,9.3,682899,韩国,剧情,2013-10-02(韩国),122分钟,https://movie.douban.com/subject/21937452/
No.37,哈尔的移动城堡,9.1,1019191,日本,"动画,奇幻,冒险","2004-09-05(威尼斯电影节),2004-11-20(日本)",119分钟,https://movie.douban.com/subject/1308807/
No.38,十二怒汉,9.4,487156,美国,剧情,1957-04-10(美国),96分钟,https://movie.douban.com/subject/1293182/
No.39,何以为家,9.1,1038947,"黎巴嫩,美国,法国,塞浦路斯,卡塔尔,英国",剧情,"2019-04-29(中国大陆),2018-05-17(戛纳电影节),2018-09-20(黎巴嫩)",126分钟,https://movie.douban.com/subject/30170448/
No.40,摔跤吧！爸爸,9.0,1561626,印度,"剧情,家庭,传记,运动","2017-05-05(中国大陆),2016-12-23(印度)",161分钟(印度),https://movie.douban.com/subject/26387939/
No.41,让子弹飞,9.0,1689792,"中国大陆,中国香港","剧情,喜剧,动作,西部",2010-12-16(中国大陆),132分钟,https://movie.douban.com/subject/3742360/
No.42,鬼子来了,9.3,623579,中国大陆,"剧情,喜剧","2000-05-12(戛纳电影节),2002-04-27(日本)",139分钟,https://movie.douban.com/subject/1291858/
No.43,天空之城,9.2,866228,日本,"动画,奇幻,冒险","1992-05-01(中国大陆),2023-06-01(中国大陆重映),1986-08-02(日本)",125分钟,https://movie.douban.com/subject/1291583/
No.44,猫鼠游戏,9.1,1016948,"美国,加拿大","剧情,传记,犯罪","2003-04-11(中国大陆),2002-12-16(洛杉矶首映),2002-12-25(美国)",141 分钟,https://movie.douban.com/subject/1305487/
No.45,少年派的奇幻漂流,9.1,1342239,"美国,中国台湾,英国,加拿大","剧情,奇幻,冒险","2012-11-22(中国大陆),2012-09-28(纽约电影节),2012-11-21(美国)",127分钟,https://movie.douban.com/subject/1929463/
No.46,海蒂和爷爷,9.3,606729,"德国,瑞士","剧情,家庭,冒险","2019-05-16(中国大陆),2015-12-10(德国)",111分钟,https://movie.douban.com/subject/25958717/
No.47,钢琴家,9.3,634327,"英国,法国,波兰,德国","剧情,音乐,传记,战争","2002-05-24(戛纳电影节),2002-09-25(法国)",149分钟,https://movie.douban.com/subject/1296736/
No.48,大话西游之月光宝盒,9.0,1215842,"中国香港,中国大陆","喜剧,爱情,奇幻,古装","2014-10-24(中国大陆),1995-01-21(中国香港)",88分钟,https://movie.douban.com/subject/1299398/
No.49,指环王2：双塔奇兵,9.2,748015,"美国,新西兰","剧情,动作,奇幻,冒险","2003-04-25(中国大陆),2021-04-23(中国大陆重映),2002-12-05(纽约首映),2002-12-18(美国)",180分钟,https://movie.douban.com/subject/1291572/
No.50,闻香识女人,9.1,879547,美国,剧情,1992-12-23(美国),157 分钟,https://movie.douban.com/subject/1298624/
No.51,罗马假日,9.1,946215,美国,"剧情,喜剧,爱情","1953-08-20(威尼斯电影节),1953-09-02(美国)",118分钟,https://movie.douban.com/subject/1293839/
No.52,天堂电影院,9.2,676343,"意大利,法国","剧情,爱情","2021-06-11(中国大陆),1988-11-17(意大利)",155分钟,https://movie.douban.com/subject/1291828/
No.53,死亡诗社,9.2,720687,美国,剧情,"1989-06-02(多伦多首映),1989-06-09(美国)",128 分钟,https://movie.douban.com/subject/1291548/
No.54,绿皮书,8.9,1638533,"美国,中国大陆","剧情,喜剧,音乐,传记","2019-03-01(中国大陆),2018-09-11(多伦多电影节),2018-11-16(美国)",130分钟,https://movie.douban.com/subject/27060077/
No.55,大闹天宫,9.4,434698,中国大陆,"剧情,动画,奇幻,古装","1961(中国大陆),1964(中国大陆),1978(中国大陆)",113分钟,https://movie.douban.com/subject/1418019/
No.56,黑客帝国,9.1,833648,美国,"动作,科幻","2000-01-14(中国大陆),1999-03-31(美国)",136分钟,https://movie.douban.com/subject/1291843/
No.57,指环王1：护戒使者,9.1,841376,"新西兰,美国","剧情,动作,奇幻,冒险","2002-04-04(中国大陆),2021-04-16(中国大陆重映),2001-12-19(美国)",179分钟,https://movie.douban.com/subject/1291571/
No.58,教父2,9.3,549334,美国,"剧情,犯罪","1974-12-12(纽约首映),1974-12-20(美国)",202分钟,https://movie.douban.com/subject/1299131/
No.59,狮子王,9.1,834482,美国,"动画,歌舞,冒险","1995-07-15(中国大陆),1994-06-15(美国),2011-09-16(美国)",89 分钟,https://movie.douban.com/subject/1301753/
No.60,辩护人,9.2,586393,韩国,剧情,2013-12-18(韩国),127分钟,https://movie.douban.com/subject/21937445/
No.61,饮食男女,9.2,617593,"中国台湾,美国","剧情,家庭","1994-07-02(中国台湾),1994-05-13(戛纳电影节),1994-08-03(美国)",124分钟,https://movie.douban.com/subject/1291818/
No.62,搏击俱乐部,9.0,841894,美国,"剧情,动作,悬疑,惊悚","1999-09-10(威尼斯电影节),1999-10-15(美国)",139 分钟,https://movie.douban.com/subject/1292000/
No.63,美丽心灵,9.1,765299,美国,"剧情,传记","2001-12-13(加州首映),2002-01-04(美国)",135分钟,https://movie.douban.com/subject/1306029/
No.64,本杰明·巴顿奇事,9.0,976599,美国,"剧情,爱情,奇幻",2008-12-25(美国),166分钟,https://movie.douban.com/subject/1485260/
No.65,穿条纹睡衣的男孩,9.2,561185,"英国,美国","剧情,战争","2008-08-28(卡内基电影节),2008-09-12(英国),2008-11-07(美国)",94分钟,https://movie.douban.com/subject/3008247/
No.66,窃听风暴,9.2,561758,德国,"剧情,悬疑",2006-03-23(德国),137分钟,https://movie.douban.com/subject/1900841/
No.67,情书,8.9,1106463,日本,"剧情,爱情","1999-03(中国大陆),2021-05-20(中国大陆重映),1995-03-25(日本)",117分钟,https://movie.douban.com/subject/1292220/
No.68,两杆大烟枪,9.1,592104,英国,"剧情,喜剧,犯罪",1998-08-28(英国),107分钟,https://movie.douban.com/subject/1293350/
No.69,西西里的美丽传说,8.9,971015,"意大利,美国","剧情,情色,战争",2000-10-27(意大利),109 分钟,https://movie.douban.com/subject/1292402/
No.70,音乐之声,9.1,598296,美国,"剧情,爱情,歌舞,传记",1965-03-02(美国),174分钟,https://movie.douban.com/subject/1294408/
No.71,看不见的客人,8.8,1258587,西班牙,"剧情,悬疑,惊悚,犯罪","2017-09-15(中国大陆),2016-09-23(奇幻电影节),2017-01-06(西班牙)",106分钟,https://movie.douban.com/subject/26580232/
No.72,阿凡达,8.8,1413563,美国,"动作,科幻,冒险","2010-01-04(中国大陆),2021-03-12(中国大陆重映),2022-12-12(中国大陆重映),2009-12-18(美国)",162分钟,https://movie.douban.com/subject/1652587/
No.73,拯救大兵瑞恩,9.1,643302,美国,"剧情,战争","1998-11-13(中国大陆),1998-07-24(美国)",169分钟,https://movie.douban.com/subject/1292849/
No.74,飞越疯人院,9.1,544318,美国,剧情,1975-11-19(美国),133分钟,https://movie.douban.com/subject/1292224/
No.75,哈利·波特与死亡圣器(下),9.0,825154,"美国,英国","奇幻,冒险","2011-08-04(中国大陆),2011-07-15(美国)",130分钟,https://movie.douban.com/subject/3011235/
No.76,小鞋子,9.2,409072,伊朗,"剧情,家庭,儿童","1997-02-01(曙光旬国际电影节),1999-01-22(美国)",89分钟,https://movie.douban.com/subject/1303021/
No.77,沉默的羔羊,8.9,883743,美国,"剧情,惊悚,犯罪",1991-02-14(美国),118分钟,https://movie.douban.com/subject/1293544/
No.78,布达佩斯大饭店,8.9,925754,"美国,德国,英国","剧情,喜剧,冒险","2014-02-06(柏林电影节),2014-03-28(美国)",99分钟,https://movie.douban.com/subject/11525673/
No.79,禁闭岛,8.9,969266,美国,"剧情,悬疑,惊悚","2010-02-13(柏林电影节),2010-02-19(美国)",138 分钟,https://movie.douban.com/subject/2334904/
No.80,蝴蝶效应,8.9,931962,"美国,加拿大","剧情,科幻,悬疑,惊悚",2004-01-23(美国),113分钟,https://movie.douban.com/subject/1292343/
No.81,致命魔术,8.9,851348,"英国,美国","剧情,悬疑,惊悚","2006-10-17(罗马电影节),2006-10-20(美国)",130分钟,https://movie.douban.com/subject/1780330/
No.82,功夫,8.8,1123161,"中国大陆,中国香港","喜剧,动作,犯罪,奇幻","2004-12-23(中国大陆/中国香港),2015-01-15(中国大陆3D),2004-09-14(多伦多电影节)",100分钟(3D重映),https://movie.douban.com/subject/1291543/
No.83,心灵捕手,8.9,708634,美国,剧情,1997-12-05(美国),126 分钟,https://movie.douban.com/subject/1292656/
No.84,海豚湾,9.3,355816,美国,纪录片,2009-07-31(美国),92分钟,https://movie.douban.com/subject/3442220/
No.85,哈利·波特与阿兹卡班的囚徒,8.9,722479,"英国,美国","奇幻,冒险","2004-09-10(中国大陆),2004-05-31(英国)",141 分钟,https://movie.douban.com/subject/1291544/
No.86,低俗小说,8.9,829305,美国,"剧情,喜剧,犯罪","1994-05-12(戛纳电影节),1994-10-14(美国)",154分钟,https://movie.douban.com/subject/1291832/
