,排名,片名,评分,评价人数,制片国家,类型,上映日期,时长,影片链接
219,No.71,看不见的客人,9,1258587,西班牙,"剧情,悬疑,惊悚,犯罪","2017-09-15(中国大陆),2016-09-23(奇幻电影节),2017-01-06(西班牙)",106,https://movie.douban.com/subject/26580232/
220,No.72,阿凡达,9,1413563,美国,"动作,科幻,冒险","2010-01-04(中国大陆),2021-03-12(中国大陆重映),2022-12-12(中国大陆重映),2009-12-18(美国)",162,https://movie.douban.com/subject/1652587/
221,No.73,拯救大兵瑞恩,9,643302,美国,"剧情,战争","1998-11-13(中国大陆),1998-07-24(美国)",169,https://movie.douban.com/subject/1292849/
222,No.74,飞越疯人院,9,544318,美国,剧情,1975-11-19(美国),133,https://movie.douban.com/subject/1292224/
223,No.75,哈利·波特与死亡圣器(下),9,825154,"美国,英国","奇幻,冒险","2011-08-04(中国大陆),2011-07-15(美国)",130,https://movie.douban.com/subject/3011235/
224,No.76,小鞋子,9,409072,伊朗,"剧情,家庭,儿童","1997-02-01(曙光旬国际电影节),1999-01-22(美国)",89,https://movie.douban.com/subject/1303021/
225,No.77,沉默的羔羊,9,883743,美国,"剧情,惊悚,犯罪",1991-02-14(美国),118,https://movie.douban.com/subject/1293544/
226,No.78,布达佩斯大饭店,9,925754,"美国,德国,英国","剧情,喜剧,冒险","2014-02-06(柏林电影节),2014-03-28(美国)",99,https://movie.douban.com/subject/11525673/
227,No.79,禁闭岛,9,969266,美国,"剧情,悬疑,惊悚","2010-02-13(柏林电影节),2010-02-19(美国)",138,https://movie.douban.com/subject/2334904/
228,No.8,辛德勒的名单,10,1100617,美国,"剧情,历史,战争","1993-11-30(华盛顿首映),1994-02-04(美国)",195,https://movie.douban.com/subject/1295124/
229,No.80,蝴蝶效应,9,931962,"美国,加拿大","剧情,科幻,悬疑,惊悚",2004-01-23(美国),113,https://movie.douban.com/subject/1292343/
230,No.81,致命魔术,9,851348,"英国,美国","剧情,悬疑,惊悚","2006-10-17(罗马电影节),2006-10-20(美国)",130,https://movie.douban.com/subject/1780330/
231,No.82,功夫,9,1123161,"中国大陆,中国香港","喜剧,动作,犯罪,奇幻","2004-12-23(中国大陆/中国香港),2015-01-15(中国大陆3D),2004-09-14(多伦多电影节)",100,https://movie.douban.com/subject/1291543/
232,No.83,心灵捕手,9,708634,美国,剧情,1997-12-05(美国),126,https://movie.douban.com/subject/1292656/
233,No.84,海豚湾,9,355816,美国,纪录片,2009-07-31(美国),92,https://movie.douban.com/subject/3442220/
234,No.85,哈利·波特与阿兹卡班的囚徒,9,722479,"英国,美国","奇幻,冒险","2004-09-10(中国大陆),2004-05-31(英国)",141,https://movie.douban.com/subject/1291544/
235,No.86,低俗小说,9,829305,美国,"剧情,喜剧,犯罪","1994-05-12(戛纳电影节),1994-10-14(美国)",154,https://movie.douban.com/subject/1291832/
236,No.87,春光乍泄,9,629138,"中国香港,日本,韩国","剧情,爱情,同性","1997-05-30(中国香港),1997-05-17(戛纳电影节)",96,https://movie.douban.com/subject/1292679/
237,No.88,超脱,9,594566,美国,剧情,2011-04-25(翠贝卡电影节),98,https://movie.douban.com/subject/5322596/
238,No.89,美国往事,9,409215,"美国,意大利","剧情,犯罪","1984-02-17(波士顿首映),1984-09-28(意大利)",229,https://movie.douban.com/subject/1292262/
239,No.9,星际穿越,9,1822293,"美国,英国,加拿大","剧情,科幻,冒险","2014-11-12(中国大陆),2020-08-02(中国大陆重映),2014-11-07(美国)",169,https://movie.douban.com/subject/1889243/
240,No.90,摩登时代,9,299008,美国,"剧情,喜剧,爱情",1936-02-25(美国),87,https://movie.douban.com/subject/1294371/
241,No.91,喜剧之王,9,965255,中国香港,"剧情,喜剧,爱情",1999-02-13(中国香港),89,https://movie.douban.com/subject/1302425/
242,No.92,致命ID,9,819390,美国,"剧情,悬疑,惊悚",2003-04-25(美国),90,https://movie.douban.com/subject/1297192/
243,No.93,杀人回忆,9,709680,韩国,"剧情,动作,悬疑,惊悚,犯罪",2003-05-02(韩国),132,https://movie.douban.com/subject/1300299/
244,No.94,七宗罪,9,937738,美国,"剧情,悬疑,惊悚,犯罪",1995-09-22(美国),127,https://movie.douban.com/subject/1292223/
245,No.95,红辣椒,9,460393,日本,"科幻,动画,悬疑,惊悚","2006-09-02(威尼斯电影节),2006-11-25(日本)",90,https://movie.douban.com/subject/1865703/
246,No.96,加勒比海盗,9,852590,美国,"动作,奇幻,冒险","2003-11-21(中国大陆),2003-07-09(美国)",143,https://movie.douban.com/subject/1298070/
247,No.97,哈利·波特与密室,9,749979,"英国,美国","奇幻,冒险","2003-01-24(中国大陆),2002-11-15(英国/美国)",161,https://movie.douban.com/subject/1296996/
248,No.98,一一,9,390857,"中国台湾,日本","剧情,爱情,家庭","2017-07-28(中国台湾),2000-05-14(戛纳电影节),2000-12-16(日本)",173,https://movie.douban.com/subject/1292434/
249,No.99,狩猎,9,387766,"丹麦,瑞典",剧情,"2012-05-20(戛纳电影节),2013-01-10(丹麦)",115,https://movie.douban.com/subject/6985810/
